order_id,customer_id,order_timestamp,archetype,account_age_days,lifetime_orders_before,lifetime_returns_before,returns_last_7_days,returns_last_90_days,orders_last_30_days,has_previous_order,current_order_value,average_order_value,product_category,item_count,delivery_confirmed,return_hours_after_delivery,selected_return_reason,return_reason_changed,same_reason_multiple_products,refund_requested_before_pickup,accounts_on_same_device,accounts_on_same_address,payment_method,shipping_billing_address_mismatch,payment_method_is_novel,contacted_support_before_return,previous_return_claims_last_15_days,support_contacts,return_requested,refund_issued,is_return_abuse,is_chargeback,raw_risk_score,risk_score_0_1,customer_history_score,current_order_score,return_behavior_score,network_score,transaction_score,support_score,score_customer_history_new_account,score_customer_history_low_lifetime_orders,score_customer_history_lifetime_return_order_ratio,score_customer_history_returns_last_7_days,score_customer_history_returns_last_90_days,score_customer_history_orders_last_30_days,score_current_order_order_value,score_current_order_product_category,score_current_order_repeat_item_count,score_return_behavior_return_requested_after_delivery,score_return_behavior_other_return_reason,score_return_behavior_return_reason_changed,score_return_behavior_same_reason_multiple_products,score_return_behavior_refund_requested_before_pickup,score_network_accounts_on_same_device,score_network_accounts_on_same_address,score_transaction_cash_on_delivery,score_transaction_shipping_billing_address_mismatch,score_transaction_payment_method_novelty,score_support_no_support_contact_before_return,score_support_previous_return_claims_last_15_days,risk_band
ORD_000085,CUST_00403,2026-01-01 00:53:00.000000,normal,900,0,0,0,0,0,False,1619.15,,Apparel,1,1,,,0,0,0,1,1,UPI,0,0,1,0,0,0,0,0,0,0.15,0.073171,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
ORD_000749,CUST_00401,2026-01-01 03:15:00.000000,new_legitimate,16,0,0,0,0,0,False,2346.37,,Books,2,1,,,0,0,0,1,1,Card,0,0,1,0,1,0,0,0,0,0.1,0.04878,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
ORD_001422,CUST_00872,2026-01-01 09:35:00.000000,shared_environment,742,0,0,0,0,0,False,2620.76,,Apparel,2,1,,,0,0,0,4,2,UPI,0,0,1,0,1,0,0,0,0,0.3,0.146341,0.05,0.1,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,low
ORD_001139,CUST_00291,2026-01-01 13:48:00.000000,normal,551,0,0,0,0,0,False,2218.25,,Home Goods,1,1,,,0,0,0,1,1,Card,0,0,1,0,0,0,0,0,0,0.15,0.073171,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
ORD_003563,CUST_00340,2026-01-01 14:46:00.000000,normal,194,0,0,0,0,0,False,824.97,,Luxury Cosmetics,2,1,,,0,0,0,1,1,UPI,0,0,1,0,1,0,0,0,0,0.1,0.04878,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
ORD_001149,CUST_00547,2026-01-01 17:56:00.000000,normal,419,0,0,0,0,0,False,776.66,,Grocery,1,0,,,0,0,0,1,1,UPI,0,0,1,0,0,0,0,0,0,0.05,0.02439,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
ORD_000536,CUST_00938,2026-01-01 19:42:00.000000,frequent_legitimate,268,0,0,0,0,0,False,517.69,,Gaming,1,0,,,0,0,0,1,1,Card,0,0,1,0,0,0,0,0,0,0.05,0.02439,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
ORD_001253,CUST_00457,2026-01-01 20:05:00.000000,normal,245,0,0,0,0,0,False,1419.0,,Home Goods,1,1,18.96,Quality issue,0,0,0,1,1,Card,0,0,0,0,1,1,1,0,0,0.15,0.073171,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
ORD_001744,CUST_00603,2026-01-01 22:36:00.000000,normal,783,0,0,0,0,0,False,1864.18,,Grocery,1,1,,,0,0,0,1,1,Card,0,0,1,0,0,0,0,0,0,0.1,0.04878,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
ORD_001064,CUST_00658,2026-01-02 00:21:00.000000,normal,625,0,0,0,0,0,False,2158.34,,Accessories,3,1,,,0,0,0,1,2,Card,0,0,1,0,1,0,0,0,0,0.15,0.073171,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,low
