threshold,precision,recall,f1,tp,fp,fn,tn,investigation_rate,expected_cost
0.01,0.0424,0.9881,0.0813,2081,47031,25,863,0.9822,13539170
0.02,0.0424,0.9881,0.0813,2081,47031,25,863,0.9822,13539170
0.03,0.0441,0.8898,0.084,1874,40619,232,7275,0.8499,12222005
0.04,0.0441,0.8898,0.084,1874,40617,232,7277,0.8498,12221435
0.05,0.0501,0.727,0.0937,1531,29045,575,18849,0.6115,9768910
0.06,0.0504,0.7208,0.0942,1518,28593,588,19301,0.6022,9672135
0.07,0.0563,0.6178,0.1032,1301,21801,805,26093,0.462,8271320
0.08,0.0595,0.5636,0.1077,1187,18746,919,29148,0.3987,7681655
0.09,0.0616,0.5361,0.1106,1129,17186,977,30708,0.3663,7380025
0.1,0.0742,0.434,0.1268,914,11397,1192,36497,0.2462,6260135
0.11,0.0785,0.4174,0.1321,879,10325,1227,37569,0.2241,6040890
0.12,0.0956,0.3504,0.1502,738,6982,1368,40912,0.1544,5435700
0.13,0.1023,0.3196,0.155,673,5905,1433,41989,0.1316,5288980
0.14,0.1098,0.302,0.161,636,5157,1470,42737,0.1159,5167005
0.15,0.1391,0.2659,0.1827,560,3465,1546,44429,0.0805,4872125
0.16,0.1565,0.2583,0.1949,544,2933,1562,44961,0.0695,4759945
0.17,0.1997,0.227,0.2125,478,1915,1628,45979,0.0479,4632505
0.18,0.2147,0.2118,0.2132,446,1631,1660,46263,0.0415,4630445
0.19,0.2311,0.2004,0.2146,422,1404,1684,46490,0.0365,4624910
0.2,0.2724,0.1819,0.2181,383,1023,1723,46871,0.0281,4612460
0.21,0.3064,0.1728,0.221,364,824,1742,47070,0.0238,4602580
0.22,0.36,0.16,0.2216,337,599,1769,47295,0.0187,4605010
0.23,0.3814,0.1443,0.2094,304,493,1802,47401,0.0159,4656145
0.24,0.4059,0.1382,0.2062,291,426,1815,47468,0.0143,4669095
0.25,0.4606,0.1192,0.1894,251,294,1855,47600,0.0109,4730075
0.26,0.48,0.1083,0.1767,228,247,1878,47647,0.0095,4773375
0.27,0.5283,0.0931,0.1583,196,175,1910,47719,0.0074,4831735
0.28,0.5309,0.0817,0.1416,172,152,1934,47742,0.0065,4884340
0.29,0.5309,0.0693,0.1226,146,129,1960,47765,0.0055,4941875
0.3,0.5668,0.0584,0.1059,123,94,1983,47800,0.0043,4988595
0.31,0.6053,0.0546,0.1002,115,75,1991,47819,0.0038,5002900
0.32,0.6429,0.047,0.0876,99,55,2007,47839,0.0031,5036640
0.33,0.6934,0.0451,0.0847,95,42,2011,47852,0.0027,5042795
0.34,0.7177,0.0423,0.0798,89,35,2017,47859,0.0025,5055590
0.35,0.7434,0.0399,0.0757,84,29,2022,47865,0.0023,5066205
0.36,0.79,0.0375,0.0716,79,21,2027,47873,0.002,5076250
0.37,0.8202,0.0347,0.0665,73,16,2033,47878,0.0018,5089615
0.38,0.8293,0.0323,0.0622,68,14,2038,47880,0.0016,5101370
0.39,0.8784,0.0309,0.0596,65,9,2041,47885,0.0015,5107340
0.4,0.8676,0.028,0.0543,59,9,2047,47885,0.0014,5122130
0.41,0.8772,0.0237,0.0462,50,7,2056,47887,0.0011,5143745
0.42,0.8868,0.0223,0.0435,47,6,2059,47888,0.0011,5150855
0.43,0.925,0.0176,0.0345,37,3,2069,47891,0.0008,5174650
0.44,0.9118,0.0147,0.029,31,3,2075,47891,0.0007,5189440
0.45,0.9091,0.0142,0.0281,30,3,2076,47891,0.0007,5191905
0.46,0.8929,0.0119,0.0234,25,3,2081,47891,0.0006,5204230
0.47,0.9167,0.0104,0.0207,22,2,2084,47892,0.0005,5211340
0.48,0.9,0.0085,0.0169,18,2,2088,47892,0.0004,5221200
0.49,1.0,0.0076,0.0151,16,0,2090,47894,0.0003,5225560
0.5,1.0,0.0071,0.0141,15,0,2091,47894,0.0003,5228025
