threshold,precision,recall,f1,tp,fp,fn,tn,investigation_rate,expected_cost
0.05,0.16620498614958448,0.625,0.26258205689277897,60,301,36,969,0.2642752562225476,177885
0.06,0.18770226537216828,0.6041666666666666,0.28641975308641976,58,251,38,1019,0.22620790629575402,168565
0.07,0.2084942084942085,0.5625,0.30422535211267604,54,205,42,1065,0.18960468521229867,165315
0.08,0.24545454545454545,0.5625,0.34177215189873417,54,166,42,1104,0.16105417276720352,154200
0.09,0.2708333333333333,0.5416666666666666,0.3611111111111111,52,140,44,1130,0.14055636896046853,151720
0.1,0.2849162011173184,0.53125,0.3709090909090909,51,128,45,1142,0.13103953147877012,150765
0.11,0.3125,0.5208333333333334,0.390625,50,110,46,1160,0.1171303074670571,148100
0.12,0.33557046979865773,0.5208333333333334,0.40816326530612246,50,99,46,1171,0.10907759882869693,144965
0.13,0.3937007874015748,0.5208333333333334,0.4484304932735426,50,77,46,1193,0.09297218155197658,138695
0.14,0.4260869565217391,0.5104166666666666,0.46445497630331756,49,66,47,1204,0.0841874084919473,138025
0.15,0.44144144144144143,0.5104166666666666,0.47342995169082125,49,62,47,1208,0.08125915080527087,136885
0.16,0.4803921568627451,0.5104166666666666,0.494949494949495,49,53,47,1217,0.0746705710102489,134320
0.17,0.5104166666666666,0.5104166666666666,0.5104166666666666,49,47,47,1223,0.07027818448023426,132610
0.18,0.5222222222222223,0.4895833333333333,0.5053763440860215,47,43,49,1227,0.06588579795021962,136400
0.19,0.5287356321839081,0.4791666666666667,0.5027322404371585,46,41,50,1229,0.0636896046852123,138295
0.2,0.5411764705882353,0.4791666666666667,0.5082872928176796,46,39,50,1231,0.06222547584187409,137725
0.21,0.5411764705882353,0.4791666666666667,0.5082872928176796,46,39,50,1231,0.06222547584187409,137725
0.22,0.5411764705882353,0.4791666666666667,0.5082872928176796,46,39,50,1231,0.06222547584187409,137725
0.23,0.5609756097560976,0.4791666666666667,0.5168539325842697,46,36,50,1234,0.060029282576866766,136870
0.24,0.5609756097560976,0.4791666666666667,0.5168539325842697,46,36,50,1234,0.060029282576866766,136870
0.25,0.5609756097560976,0.4791666666666667,0.5168539325842697,46,36,50,1234,0.060029282576866766,136870
0.26,0.575,0.4791666666666667,0.5227272727272727,46,34,50,1236,0.05856515373352855,136300
0.27,0.5822784810126582,0.4791666666666667,0.5257142857142857,46,33,50,1237,0.057833089311859445,136015
0.28,0.6052631578947368,0.4791666666666667,0.5348837209302325,46,30,50,1240,0.055636896046852125,135160
0.29,0.6133333333333333,0.4791666666666667,0.5380116959064327,46,29,50,1241,0.05490483162518302,134875
0.3,0.6301369863013698,0.4791666666666667,0.5443786982248521,46,27,50,1243,0.053440702781844804,134305
0.31,0.6388888888888888,0.4791666666666667,0.5476190476190477,46,26,50,1244,0.0527086383601757,134020
0.32,0.6571428571428571,0.4791666666666667,0.5542168674698795,46,24,50,1246,0.05124450951683748,133450
0.33,0.6764705882352942,0.4791666666666667,0.5609756097560976,46,22,50,1248,0.04978038067349927,132880
0.34,0.6666666666666666,0.4583333333333333,0.5432098765432098,44,22,52,1248,0.048316251830161056,137810
0.35,0.676923076923077,0.4583333333333333,0.546583850931677,44,21,52,1249,0.04758418740849195,137525
0.36,0.676923076923077,0.4583333333333333,0.546583850931677,44,21,52,1249,0.04758418740849195,137525
0.37,0.676923076923077,0.4583333333333333,0.546583850931677,44,21,52,1249,0.04758418740849195,137525
0.38,0.6875,0.4583333333333333,0.55,44,20,52,1250,0.04685212298682284,137240
0.39,0.6984126984126984,0.4583333333333333,0.5534591194968553,44,19,52,1251,0.046120058565153735,136955
0.4,0.6984126984126984,0.4583333333333333,0.5534591194968553,44,19,52,1251,0.046120058565153735,136955
0.41,0.6984126984126984,0.4583333333333333,0.5534591194968553,44,19,52,1251,0.046120058565153735,136955
0.42,0.6984126984126984,0.4583333333333333,0.5534591194968553,44,19,52,1251,0.046120058565153735,136955
0.43,0.6984126984126984,0.4583333333333333,0.5534591194968553,44,19,52,1251,0.046120058565153735,136955
0.44,0.6984126984126984,0.4583333333333333,0.5534591194968553,44,19,52,1251,0.046120058565153735,136955
0.45,0.6984126984126984,0.4583333333333333,0.5534591194968553,44,19,52,1251,0.046120058565153735,136955
0.46,0.6935483870967742,0.4479166666666667,0.5443037974683544,43,19,53,1251,0.04538799414348463,139420
0.47,0.6935483870967742,0.4479166666666667,0.5443037974683544,43,19,53,1251,0.04538799414348463,139420
0.48,0.6935483870967742,0.4479166666666667,0.5443037974683544,43,19,53,1251,0.04538799414348463,139420
0.49,0.6935483870967742,0.4479166666666667,0.5443037974683544,43,19,53,1251,0.04538799414348463,139420
